Sample,S100A8_A9_A12_score,inflammatory_score,cytokine_score
M01,0.618275827585014,0.09345709133880532,0.1807591772013521
M02,-0.12184947618950101,0.06836641347245723,0.05686489590011619
M03,-0.6525115886870437,0.05138267924131727,0.021284919355431958
M04,0.275913060482022,0.06829505195196386,0.12818040760458493
M05,0.21796268942389602,0.08539449901775564,0.10856466041346498
M06,-0.7087749789268882,0.08966643426088267,-0.0026127116637923906
M07,-0.4482055551895903,0.08536539521173815,0.009196171923440761
M08,0.3232692250255239,0.10650225431698843,0.11550939964870241
M09,-0.5997831652599815,0.1179753489034153,0.11015969913542727
M10,0.35343983395107237,0.09130513613820192,0.16612253551204204
M11,0.04646869776870524,0.12780267846229915,0.1296858261268625
M12,0.529993565083991,0.10118532830325436,0.19250167273416072
M13,-0.3734765460378985,0.05329576308805462,0.07265320803464839
M14,0.3493990791417348,0.08245297028376161,0.14931054192035204
M15,0.40618943305642136,0.06686346887688865,0.12402669744662566
M16,1.0623221675341439,0.1076381255153423,0.22497754813989032
M17,1.3859923098734446,0.12638476659626535,0.2550695992948875
M18,-0.6718069082098953,0.08341312414045202,0.09353979252854557
M19,-1.1050047599090764,0.04045861228894438,-0.013508660819099043
M20,-1.0902881179584247,0.057728422119194225,0.029358018396058925
M21,0.8794116381969322,0.14162917328776659,0.22505905171889048
M22,-0.3177510125179568,0.09688775685951934,0.060339834728338655
M23,1.6987153517378468,0.1943001877606969,0.36258930244560084
S01,0.4447580385516738,0.10888316792269602,0.1798823886297963
S02,0.33812938247908547,0.11295996403098911,0.12976057308861783
S03,1.378544513341174,0.12409339968582543,0.26045804983997695
S04,2.7298847586403285,0.1263865410139591,0.35962877590356707
S05,0.6665957876444143,0.14179605526212247,0.2111972069064393
S06,-0.030513490815162015,0.08740582412210071,0.11861735334774487
S07,1.3003733608867372,0.10477352839603021,0.2411135130242673
S08,1.8270864544350043,0.15235983692979116,0.3079713339326155
S09,3.1791673002330096,0.17257924767749158,0.43415499554928927
S10,-0.07785463682636437,0.1012733847509656,0.09122786245435184
S11,-0.3496063587870004,0.07581522421495748,0.15616510206502143
S12,1.5404837675476233,0.15087052858164293,0.26112085036625127
S13,1.511006953714195,0.12872253754536556,0.2690112292803275
S14,0.6530269904514642,0.10499818412144031,0.14902742400435462
S15,1.4907147349226628,0.13719359305660153,0.2653181752884601
S16,-0.22715154917242164,0.12132723447617794,0.13068821457132107
S17,-0.3483209355651267,0.08607110761678731,0.12887369807845386
S18,2.5556336713750913,0.1927096515797748,0.39884932777502774
S19,-1.0850153900638846,0.0685079957609822,0.04294061472442317
S20,-1.028907086592226,0.06725149396017494,0.05286325028838122
S21,-1.164814211754832,0.05950607009367328,0.03539115049391688
S22,-0.29308356436339256,0.0871513154135336,0.1274567114606233
S23,0.43317015659231933,0.10248218974372818,0.19765691621142842
