names,scores,logfoldchanges,pvals,pvals_adj
WDR19,-0.82748485,-0.2816714,0.4079623198282727,1.0
PPP2R1B,-0.8275526,-0.11868578,0.40792391390500216,1.0
KIF3A,-0.8278131,-0.07609737,0.40777634892648706,1.0
XRN2,-0.8286688,-0.028733283,0.407291854504219,1.0
RNF4,-0.82878304,-0.03368842,0.4072271846751061,1.0
HECW2,-0.82918894,-0.48707157,0.4069975115128518,1.0
KDM1B,-0.82940847,-0.207459,0.4068732982637252,1.0
MED12L,-0.82946736,-0.45076072,0.40684001777918577,1.0
ZNF519,-0.829553,-0.22261603,0.40679154693550734,1.0
ATP1B1,-0.829689,-0.37644032,0.40671462764526256,1.0
MAFK,-0.83204585,-0.21614583,0.4053830602058045,1.0
PHRF1,-0.83214307,-0.07048092,0.4053281962744293,1.0
SGSM2,-0.8322219,-0.1284256,0.4052836827492555,1.0
ZNF235,-0.83231276,-0.11760296,0.4052324356604816,1.0
NIFK,-0.8328568,-0.05348687,0.40492551542846844,1.0
FKTN,-0.8328917,-0.15916905,0.4049057964685515,1.0
EYS,-0.83316886,-0.4118526,0.4047495079551072,1.0
HDHD5,-0.83331424,-0.08901493,0.4046675310259171,1.0
PPP1R15B,-0.8335129,-0.08624725,0.40455551996152894,1.0
GTPBP4,-0.8338152,-0.056596868,0.40438513527122766,1.0
NDUFAF8,-0.8344074,-0.029671973,0.4040514595477518,1.0
CNIH3,-0.83488405,-0.43885908,0.4037830051563318,1.0
ID1,-0.83525836,-1.1133767,0.4035722544916557,1.0
GPR157,-0.83624536,-0.8470931,0.4030168895319103,1.0
CRYL1,-0.8370618,-0.07521468,0.402557830228901,1.0
ZC3H7B,-0.8378471,-0.09390067,0.4021165662308547,1.0
PIK3IP1,-0.8378578,-0.038890135,0.4021105793020081,1.0
POGLUT1,-0.8380087,-0.096181534,0.4020258101282328,1.0
TFAP4,-0.838146,-0.20201309,0.4019487130154574,1.0
SLC26A5,-0.8388955,-0.38141564,0.40152794794197844,1.0
VPS35,-0.8390409,-0.046255574,0.40144636258733923,1.0
HEATR4,-0.8391006,-0.7714945,0.40141287001529036,1.0
MOB1B,-0.8393453,-0.17434949,0.4012755680076382,1.0
HDAC5,-0.83957,-0.10212651,0.40114953332955305,1.0
LINC00861,-0.8400816,-0.024346892,0.4008626360433827,1.0
CAPS2,-0.8414028,-0.21849269,0.4001222941420731,1.0
TSGA10,-0.8422534,-0.19316073,0.3996461297570799,1.0
SELENOS,-0.8425518,-0.038570322,0.3994791353435361,1.0
NKAP,-0.8437008,-0.03969004,0.398836598879745,1.0
LINC01376,-0.8442764,-0.31924963,0.398514968632933,1.0
LINC02109,-0.84429175,-4.0472794,0.39850639396515564,1.0
TIGIT,-0.8443676,-0.039371595,0.3984639986296481,1.0
MKRN1,-0.8444508,-0.04417144,0.39841755741952467,1.0
L2HGDH,-0.84476966,-0.27049538,0.3982394439408177,1.0
PIK3R4,-0.84477824,-0.0987332,0.3982346822068781,1.0
TBRG1,-0.8451419,-0.02855912,0.3980316261835283,1.0
SRSF5,-0.8469189,-0.0082073705,0.397040334372069,1.0
TPGS1,-0.8472894,-0.04896102,0.39683384446609016,1.0
THAP9,-0.8476586,-0.3294662,0.3966281318885364,1.0
FMR1,-0.8480274,-0.049869206,0.3964227211142385,1.0
WIPI1,-0.84832114,-0.11973572,0.39625915085855223,1.0
NAPEPLD,-0.84908086,-0.1964453,0.39583628880372046,1.0
FADS3,-0.8496488,-0.23917954,0.3955203881880579,1.0
WASHC3,-0.84997493,-0.0459707,0.3953390276710196,1.0
TTLL11,-0.85172635,-0.4223293,0.3943659934560092,1.0
TIMM9,-0.8521804,-0.081479505,0.3941139708194952,1.0
SPDYE3,-0.8531303,-0.43726346,0.3935870500848999,1.0
KCNQ1OT1,-0.85351956,-0.44682035,0.3933712493892271,1.0
LGALS8,-0.8535511,-0.057088096,0.3933537615641616,1.0
TSHZ2,-0.8543087,-0.71979475,0.3929339588850064,1.0
TMCO4,-0.85461015,-0.10465677,0.39276701106317435,1.0
PLAUR,-0.85488087,-0.4268388,0.3926171016543597,1.0
APAF1,-0.8554684,-0.100643516,0.39229190576305806,1.0
PPP6C,-0.8555728,-0.040010314,0.39223410502331124,1.0
RIPOR3,-0.85569775,-0.654143,0.39216498683944845,1.0
SETMAR,-0.856605,-0.3912091,0.3916632170822626,1.0
