group,names,scores,logfoldchanges,pvals,pvals_adj
MKPP,DPYD,66.14136,1.3973278,0.0,0.0
MKPP,HLA-DRB1,65.8545,1.4864206,0.0,0.0
MKPP,ARHGEF18,65.84185,1.9793407,0.0,0.0
MKPP,ATP11B,65.01584,1.4323481,0.0,0.0
MKPP,PLCB1,64.899025,1.6226661,0.0,0.0
MKPP,STAT1,64.86713,1.5363977,0.0,0.0
MKPP,PPP3R1,64.71621,1.5675763,0.0,0.0
MKPP,FAM66A,64.71344,6.992508,0.0,0.0
MKPP,FOXO1,64.68701,1.7091627,0.0,0.0
MKPP,AKT3,64.665535,1.4710033,0.0,0.0
MKPP,CHMP4A,64.57888,1.7770795,0.0,0.0
MKPP,PALD1,64.57797,9.5243435,0.0,0.0
MKPP,KCMF1,64.54524,1.816795,0.0,0.0
MKPP,SMAD4,64.52886,1.8744453,0.0,0.0
MKPP,GNB1,64.33984,1.3830032,0.0,0.0
MKPP,ASXL1,64.25812,1.5920776,0.0,0.0
MKPP,MAP3K5,64.2519,1.5088018,0.0,0.0
MKPP,AMBRA1,64.15717,1.6961733,0.0,0.0
MKPP,VPS13B,63.85338,1.3954399,0.0,0.0
MKPP,LRRC8C,63.761223,1.6522306,0.0,0.0
MKPP,FAM89B,63.759033,2.1389518,0.0,0.0
MKPP,HEBP2,63.62082,2.026295,0.0,0.0
MKPP,VAMP2,63.451813,1.2257462,0.0,0.0
MKPP,CDKAL1,63.146805,1.4350268,0.0,0.0
MKPP,CELF2-AS1,63.0964,5.945872,0.0,0.0
MKPP,ZNRF2,63.03704,1.5387275,0.0,0.0
MKPP,PNRC1,62.81869,1.1902834,0.0,0.0
MKPP,MALT1,62.637215,1.7216908,0.0,0.0
MKPP,PCNX1,62.52443,1.3433204,0.0,0.0
MKPP,ATXN1,62.51604,1.3074944,0.0,0.0
MKPP,DDX39B,62.453243,1.5186528,0.0,0.0
MKPP,KLRC4,62.442474,2.523552,0.0,0.0
MKPP,PVRIG,62.361393,2.6900983,0.0,0.0
MKPP,CYBA,62.354263,1.0904672,0.0,0.0
MKPP,PHACTR2,62.306435,1.6440629,0.0,0.0
MKPP,NFKB1,62.16736,1.7758852,0.0,0.0
MKPP,PITPNC1,61.931007,1.2832047,0.0,0.0
MKPP,TXNRD1,61.844547,1.7577609,0.0,0.0
MKPP,GPATCH8,61.768463,1.3615065,0.0,0.0
MKPP,CTDNEP1,61.755733,1.5527954,0.0,0.0
MKPP,ARID1B,61.746223,1.2690372,0.0,0.0
MKPP,RAPGEF1,61.623535,1.3842939,0.0,0.0
MKPP,SMYD3,61.585674,1.4143176,0.0,0.0
MKPP,ZFPM1,61.537525,2.197519,0.0,0.0
MKPP,DOCK8,61.44064,1.2715657,0.0,0.0
MKPP,BCL11B,61.269867,1.2543266,0.0,0.0
MKPP,LRBA,61.05832,1.2670784,0.0,0.0
MKPP,CBLB,61.028515,1.2493149,0.0,0.0
MKPP,STK39,61.019405,1.4464012,0.0,0.0
MKPP,R3HDM2,60.987206,1.3534486,0.0,0.0
MKPP,RNF169,60.986553,1.8739865,0.0,0.0
MKPP,SOS2,60.92198,1.637653,0.0,0.0
MKPP,BRAF,60.84635,1.4345458,0.0,0.0
MKPP,ARFGEF1,60.758823,1.3474817,0.0,0.0
MKPP,NCOA1,60.667347,1.3041883,0.0,0.0
MKPP,CHKB,60.654373,1.8718867,0.0,0.0
MKPP,NR1D2,60.581047,1.6809556,0.0,0.0
MKPP,CEBPB,60.5292,1.5772693,0.0,0.0
MKPP,CD96,60.459564,1.2435747,0.0,0.0
MKPP,COG5,60.453033,1.3265518,0.0,0.0
MKPP,GLCCI1,60.40327,1.499677,0.0,0.0
MKPP,XRN1,60.393642,1.2855282,0.0,0.0
MKPP,GPS2,60.34816,1.5469377,0.0,0.0
MKPP,AUTS2,60.29,1.6271689,0.0,0.0
MKPP,KHDRBS1,60.21921,1.3117788,0.0,0.0
MKPP,SIPA1L1,60.127316,1.6805146,0.0,0.0
MKPP,RABGAP1L,60.105675,1.2537847,0.0,0.0
MKPP,PACS1,60.070557,1.320102,0.0,0.0
MKPP,SPIDR,60.04679,1.5110934,0.0,0.0
MKPP,CDC42SE2,59.973232,1.1602445,0.0,0.0
MKPP,TM9SF3,59.89265,1.5065958,0.0,0.0
MKPP,PTPRJ,59.844517,1.2637995,0.0,0.0
MKPP,CHST11,59.82747,1.2576848,0.0,0.0
MKPP,CD63,59.787247,1.2798932,0.0,0.0
MKPP,ACBD3,59.768093,1.9263177,0.0,0.0
MKPP,ZFAND3,59.74253,1.2596158,0.0,0.0
MKPP,PDE3B,59.687542,1.5518976,0.0,0.0
MKPP,MYBL1,59.484306,1.2466384,0.0,0.0
MKPP,DOCK10,59.446648,1.2554358,0.0,0.0
MKPP,CHN2,59.382732,3.3975246,0.0,0.0
MKPP,ARL15,59.330193,1.3201678,0.0,0.0
MKPP,TSR3,59.280853,2.159479,0.0,0.0
MKPP,CDK17,59.16778,1.3443974,0.0,0.0
MKPP,GSPT1,59.157017,1.4239123,0.0,0.0
MKPP,VAV3,59.149536,1.43886,0.0,0.0
MKPP,CRYBG1,59.06507,1.3790612,0.0,0.0
MKPP,PPP6R3,59.029484,1.2945603,0.0,0.0
MKPP,DYNLT1,59.027645,1.2381606,0.0,0.0
MKPP,FBXO11,59.02305,1.4983552,0.0,0.0
MKPP,S1PR4,59.007767,1.5761948,0.0,0.0
MKPP,MED13L,58.710117,1.3161055,0.0,0.0
MKPP,EPC2,58.69408,1.8468988,0.0,0.0
MKPP,ITFG1,58.67158,1.3770945,0.0,0.0
MKPP,ITCH,58.667778,1.2721555,0.0,0.0
MKPP,XRCC5,58.606388,1.1785846,0.0,0.0
MKPP,MAP3K2,58.57217,1.415502,0.0,0.0
MKPP,FAM107B,58.45313,1.2058005,0.0,0.0
MKPP,SSH2,58.451763,1.235866,0.0,0.0
MKPP,PRKCB,58.409775,1.1708395,0.0,0.0
MKPP,DYRK1A,58.381344,1.3550286,0.0,0.0
MKPP,USP47,58.373665,1.3393936,0.0,0.0
MKPP,STAT5B,58.36891,1.4119644,0.0,0.0
MKPP,USP25,58.36355,1.3134923,0.0,0.0
MKPP,CPB2-AS1,58.273094,2.5859582,0.0,0.0
MKPP,SPPL3,58.267,1.5702137,0.0,0.0
MKPP,RFX7,58.255547,1.6190622,0.0,0.0
MKPP,CEBPD,58.123394,2.545918,0.0,0.0
MKPP,SLC2A4RG,58.048187,1.6752576,0.0,0.0
MKPP,CAMK4,57.984097,1.4532439,0.0,0.0
MKPP,ZNF652,57.919323,1.4679172,0.0,0.0
MKPP,TSNAX,57.911243,1.9975783,0.0,0.0
MKPP,MBD5,57.887287,1.300866,0.0,0.0
MKPP,SLCO3A1,57.85609,1.4733536,0.0,0.0
MKPP,CDKN2D,57.783283,1.3925691,0.0,0.0
MKPP,CAMK1D,57.77859,1.4289651,0.0,0.0
MKPP,ARL6IP1,57.728783,1.3079374,0.0,0.0
MKPP,ORMDL1,57.71254,1.2833084,0.0,0.0
MKPP,PTPRA,57.710403,1.269466,0.0,0.0
MKPP,PSMA1,57.70822,1.2496064,0.0,0.0
MKPP,CAMK2D,57.695908,1.352328,0.0,0.0
MKPP,PUM2,57.58324,1.2136835,0.0,0.0
MKPP,EFHD2,57.5601,1.1695809,0.0,0.0
MKPP,ZEB1,57.545067,1.6073232,0.0,0.0
MKPP,CCDC91,57.49053,1.2437593,0.0,0.0
MKPP,ATP9B,57.43819,1.4075477,0.0,0.0
MKPP,PMF1,57.403236,2.0757308,0.0,0.0
MKPP,CNPY2,57.39543,1.7241908,0.0,0.0
MKPP,TTC19,57.261993,1.5124377,0.0,0.0
MKPP,CD48,57.20423,1.0507476,0.0,0.0
MKPP,ESYT2,57.166077,1.2935582,0.0,0.0
MKPP,PAN3,57.06485,1.207461,0.0,0.0
MKPP,NSMCE3,56.992893,1.664106,0.0,0.0
MKPP,USP3-AS1,56.96577,2.2337132,0.0,0.0
MKPP,HERC1,56.917896,1.2104423,0.0,0.0
MKPP,EPS15,56.73581,1.1692203,0.0,0.0
MKPP,UTRN,56.66764,1.1317537,0.0,0.0
MKPP,MZT2A,56.665817,1.3536255,0.0,0.0
MKPP,NCOA2,56.622902,1.2345414,0.0,0.0
MKPP,NAP1L4,56.460827,1.2555156,0.0,0.0
MKPP,RANBP9,56.397305,1.5437464,0.0,0.0
MKPP,ANKRD44,56.27619,1.0938505,0.0,0.0
MKPP,ABHD14A,56.26793,2.4024315,0.0,0.0
MKPP,FBXW7,56.26483,1.2553031,0.0,0.0
MKPP,ADK,56.25171,1.3887322,0.0,0.0
MKPP,MAML2,56.2451,1.3300292,0.0,0.0
MKPP,PTBP2,56.218533,1.5212291,0.0,0.0
MKPP,HNRNPUL2,56.17875,1.9142528,0.0,0.0
MKPP,KAT6A,56.16195,1.2552563,0.0,0.0
MKPP,UBE2Q1,56.151844,1.9268249,0.0,0.0
MKPP,PARL,56.0963,2.140625,0.0,0.0
MKPP,VEGFB,56.055042,2.5160518,0.0,0.0
MKPP,SOS1,56.027752,1.1939949,0.0,0.0
MKPP,SCAPER,55.96015,1.4375783,0.0,0.0
MKPP,PGP,55.909454,2.0778475,0.0,0.0
MKPP,SMCHD1,55.89535,1.1173898,0.0,0.0
MKPP,TBC1D5,55.795998,1.2109412,0.0,0.0
MKPP,LINC00299,55.76444,1.9083143,0.0,0.0
MKPP,MOSMO,55.72437,1.9912205,0.0,0.0
MKPP,FBXO33,55.709908,1.4979317,0.0,0.0
MKPP,MKLN1,55.68011,1.2458417,0.0,0.0
MKPP,TNRC6C,55.677444,1.3012761,0.0,0.0
MKPP,FNDC3A,55.64788,1.439518,0.0,0.0
MKPP,ATP8A1,55.574608,1.2184336,0.0,0.0
MKPP,PRKCQ,55.561363,1.1580254,0.0,0.0
MKPP,BCAS3,55.441563,1.264387,0.0,0.0
MKPP,BIRC6,55.416443,1.114925,0.0,0.0
MKPP,TCF12,55.32637,1.214604,0.0,0.0
MKPP,INPP4A,55.31997,1.2271351,0.0,0.0
MKPP,PPP3CB,55.268295,1.4843725,0.0,0.0
MKPP,RRP36,55.19554,1.9266748,0.0,0.0
MKPP,MYO9B,55.162643,1.3189676,0.0,0.0
MKPP,EXOC4,55.0221,1.1689987,0.0,0.0
MKPP,SET,55.01361,1.0370528,0.0,0.0
MKPP,CNOT6L,54.995598,1.1907423,0.0,0.0
MKPP,DIAPH2,54.984608,1.3156418,0.0,0.0
MKPP,MDFIC,54.94395,1.4007428,0.0,0.0
MKPP,RYK,54.90807,1.7112207,0.0,0.0
MKPP,TRIR,54.89297,1.0614221,0.0,0.0
MKPP,ZSWIM6,54.890636,1.5984123,0.0,0.0
MKPP,SNF8,54.818367,1.6881573,0.0,0.0
MKPP,GRK6,54.817436,1.4607419,0.0,0.0
MKPP,CAPNS1,54.799557,1.2789571,0.0,0.0
MKPP,CCSER2,54.76229,1.1760224,0.0,0.0
MKPP,TG,54.73189,3.3649962,0.0,0.0
MKPP,LARP4B,54.706192,1.3761802,0.0,0.0
MKPP,ELMO1,54.69503,1.224012,0.0,0.0
MKPP,PPP2R5A,54.59476,1.330476,0.0,0.0
MKPP,SFMBT2,54.437084,1.4531277,0.0,0.0
