names,scores,logfoldchanges,pvals,pvals_adj
ACBD3,59.768093,1.9263177,0.0,0.0
PDE3B,59.687542,1.5518976,0.0,0.0
CHN2,59.382732,3.3975246,0.0,0.0
TSR3,59.280853,2.159479,0.0,0.0
S1PR4,59.007767,1.5761948,0.0,0.0
EPC2,58.69408,1.8468988,0.0,0.0
CPB2-AS1,58.273094,2.5859582,0.0,0.0
SPPL3,58.267,1.5702137,0.0,0.0
RFX7,58.255547,1.6190622,0.0,0.0
CEBPD,58.123394,2.545918,0.0,0.0
SLC2A4RG,58.048187,1.6752576,0.0,0.0
TSNAX,57.911243,1.9975783,0.0,0.0
ZEB1,57.545067,1.6073232,0.0,0.0
PMF1,57.403236,2.0757308,0.0,0.0
CNPY2,57.39543,1.7241908,0.0,0.0
TTC19,57.261993,1.5124377,0.0,0.0
NSMCE3,56.992893,1.664106,0.0,0.0
USP3-AS1,56.96577,2.2337132,0.0,0.0
RANBP9,56.397305,1.5437464,0.0,0.0
ABHD14A,56.26793,2.4024315,0.0,0.0
PTBP2,56.218533,1.5212291,0.0,0.0
HNRNPUL2,56.17875,1.9142528,0.0,0.0
UBE2Q1,56.151844,1.9268249,0.0,0.0
PARL,56.0963,2.140625,0.0,0.0
VEGFB,56.055042,2.5160518,0.0,0.0
PGP,55.909454,2.0778475,0.0,0.0
LINC00299,55.76444,1.9083143,0.0,0.0
MOSMO,55.72437,1.9912205,0.0,0.0
RRP36,55.19554,1.9266748,0.0,0.0
RYK,54.90807,1.7112207,0.0,0.0
ZSWIM6,54.890636,1.5984123,0.0,0.0
SNF8,54.818367,1.6881573,0.0,0.0
TG,54.73189,3.3649962,0.0,0.0
TAP2,54.419693,1.6750939,0.0,0.0
BACH2,54.19881,1.7750568,0.0,0.0
DUSP16,53.994347,2.0948753,0.0,0.0
UBE2S,53.949234,1.818721,0.0,0.0
ZC3H12B,53.906055,4.540812,0.0,0.0
ETV6,53.864426,1.6136426,0.0,0.0
VKORC1,53.84126,2.088468,0.0,0.0
SDHAF2,53.790356,1.768961,0.0,0.0
DNLZ,53.31845,3.096598,0.0,0.0
MXD4,53.073242,1.5260267,0.0,0.0
LINC00278,52.98348,2.0938358,0.0,0.0
MAPK14,52.979374,1.5870613,0.0,0.0
LINC00342,52.885433,1.5498677,0.0,0.0
ZXDC,52.754303,1.8032776,0.0,0.0
MAPK8,52.710583,1.5246638,0.0,0.0
TLK2,52.59579,1.5624857,0.0,0.0
