names,scores,logfoldchanges,pvals,pvals_adj
CLIP3,-0.014260307,-0.45384827,0.988622307200446,1.0
SCHLAP1,-0.014335558,-0.37876156,0.9885622718468369,1.0
MYCT1,-0.014342054,-0.5316105,0.9885570889416436,1.0
RADIL,-0.014344219,-0.6807603,0.9885553613066865,1.0
AQP4-AS1,-0.014349633,-1.0616528,0.9885510422195286,1.0
RELN,-0.01435234,-1.278837,0.9885488826760754,1.0
PTPRJ-AS1,-0.014353422,-1.3262256,0.9885480188587177,1.0
NRXN3,-0.014487142,-0.6824978,0.9884413375185579,1.0
ZIK1,-0.014552106,-0.14766502,0.9883895086018604,1.0
ABI3BP,-0.014615988,-0.23501572,0.9883385435482196,1.0
CD34,-0.014654697,-0.39876065,0.9883076622041105,1.0
AK7,-0.014660652,-0.43574554,0.9883029112296473,1.0
REELD1,-0.014660652,-0.46489793,0.9883029112296473,1.0
LINC01492,-0.014674728,-0.45571527,0.9882916816552927,1.0
GPRASP2,-0.014674728,-0.6858346,0.9882916816552927,1.0
NPIPB9,-0.014688803,-1.0853812,0.9882804520832577,1.0
CCDC154,-0.014715602,-0.5631819,0.9882590727121492,1.0
PCDHGA9,-0.015375535,-0.33786172,0.9877325814028787,1.0
C2CD4A,-0.015376076,-0.4126066,0.9877321495007669,1.0
PIK3C2G,-0.015382031,-0.75321096,0.9877273985777754,1.0
CTXND1,-0.015385279,-0.82798916,0.9877248071654179,1.0
SFN,-0.015385821,-0.97201145,0.9877243752633709,1.0
MOG,-0.015386363,-0.9566609,0.9877239433613275,1.0
FBXW10,-0.015386363,-1.1457816,0.9877239433613275,1.0
NRP2,-0.015386904,-1.2909037,0.9877235114592877,1.0
SELENBP1,-0.015386904,-1.0560834,0.9877235114592877,1.0
ADAM18,-0.015388528,-1.5995837,0.9877222157531899,1.0
SAMD13,-0.015704148,-0.63162667,0.9874704174869967,1.0
LRRTM2,-0.015705772,-0.6043393,0.9874691217872893,1.0
PPFIA4,-0.015709562,-0.84425414,0.9874660984881006,1.0
KCND3,-0.01571606,-0.8715123,0.9874609156899101,1.0
SMIM33,-0.015922593,-0.18068199,0.9872961461744323,1.0
MFAP5,-0.016019227,-0.35655722,0.9872190523665989,1.0
LINC00960,-0.016026536,-0.41940507,0.9872132217473223,1.0
PITPNM3,-0.01604413,-0.7032002,0.9871991850740878,1.0
CXCL5,-0.016190572,-0.7342396,0.9870823569171591,1.0
REEP6,-0.016293433,-0.20703192,0.9870002966396783,1.0
KLKB1,-0.016419303,-0.7168698,0.9868998809610161,1.0
MIR4500HG,-0.01642201,-0.9814841,0.9868977214863295,1.0
CCDC187,-0.01642201,-0.96866953,0.9868977214863295,1.0
PRDM6,-0.016423091,-1.1913673,0.9868968576964816,1.0
SLC22A2,-0.016423633,-1.5761548,0.9868964258015634,1.0
LINC00570,-0.016423633,-1.5496855,0.9868964258015634,1.0
SPATC1,-0.016423633,-1.6680375,0.9868964258015634,1.0
CSF2,-0.016423633,-1.7428428,0.9868964258015634,1.0
ZNF536,-0.016424175,-1.9594221,0.9868959939066492,1.0
LINC02281,-0.016424175,-1.2905347,0.9868959939066492,1.0
PTGDR2,-0.016424175,-1.4103384,0.9868959939066492,1.0
LYZL6,-0.016424175,-1.3986582,0.9868959939066492,1.0
LINC01010,-0.016424716,-1.6578759,0.9868955620117388,1.0
TMEM74,-0.016424716,-2.3465233,0.9868955620117388,1.0
NALCN-AS1,-0.016424716,-1.7911656,0.9868955620117388,1.0
GRM4,-0.016424716,-1.8058326,0.9868955620117388,1.0
NRARP,-0.016424716,-1.6978315,0.9868955620117388,1.0
MYOZ2,-0.016424716,-1.7160486,0.9868955620117388,1.0
PHETA1,-0.01669486,-0.24590793,0.9866800469331242,1.0
FRMPD1,-0.01673844,-0.6719452,0.9866452795611792,1.0
CPLX1,-0.01674115,-0.5642385,0.9866431200979191,1.0
ASB15,-0.017059747,-0.7519887,0.986388951960094,1.0
PLXNB1,-0.017402165,-0.55459726,0.9861157821379691,1.0
C15orf48,-0.017411638,-0.6184352,0.9861082241026435,1.0
CROCC2,-0.017464152,-16.919928,0.9860663310151789,1.0
ADGRG7,-0.017464152,-17.466734,0.9860663310151789,1.0
C10orf53,-0.017464152,-16.643097,0.9860663310151789,1.0
ESRP1,-0.017464152,-17.311615,0.9860663310151789,1.0
LINC02030,-0.017464152,-16.626255,0.9860663310151789,1.0
LINC02179,-0.017464152,-16.718729,0.9860663310151789,1.0
LINC00587,-0.017464152,-17.498175,0.9860663310151789,1.0
GPR78,-0.017464152,-17.391586,0.9860663310151789,1.0
SLC6A2,-0.017464152,-17.258707,0.9860663310151789,1.0
LINC02135,-0.017464152,-16.754549,0.9860663310151789,1.0
BEAN1-AS1,-0.017464152,-17.24817,0.9860663310151789,1.0
IL22RA2,-0.017464152,-17.677193,0.9860663310151789,1.0
GOLGA6L6,-0.017464152,-16.743225,0.9860663310151789,1.0
CHRD,-0.017464152,-16.635433,0.9860663310151789,1.0
LINC02374,-0.017464152,-16.65828,0.9860663310151789,1.0
FOLH1,-0.017464152,-16.939425,0.9860663310151789,1.0
IGLV1-36,-0.017464152,-16.963764,0.9860663310151789,1.0
WIF1,-0.017464152,-17.65924,0.9860663310151789,1.0
EVA1A,-0.017464152,-17.359411,0.9860663310151789,1.0
MKX-AS1,-0.017464152,-16.547188,0.9860663310151789,1.0
LGALS7B,-0.017464152,-17.566023,0.9860663310151789,1.0
GOLGA8J,-0.017464152,-16.846275,0.9860663310151789,1.0
MRGPRX3,-0.017464152,-17.495716,0.9860663310151789,1.0
RAI2,-0.017464152,-17.72155,0.9860663310151789,1.0
HAO1,-0.017464152,-17.658665,0.9860663310151789,1.0
IGLC6,-0.017464152,-17.16287,0.9860663310151789,1.0
DPPA3,-0.017464152,-16.656826,0.9860663310151789,1.0
LINC00477,-0.017464152,-16.836922,0.9860663310151789,1.0
HTR3A,-0.017464152,-16.66711,0.9860663310151789,1.0
IGLV3-16,-0.017464152,-17.06985,0.9860663310151789,1.0
LINC01795,-0.017464152,-16.744177,0.9860663310151789,1.0
NAT8,-0.017464152,-16.790222,0.9860663310151789,1.0
SPINK5,-0.017464152,-17.143782,0.9860663310151789,1.0
LINC00559,-0.017464152,-16.609362,0.9860663310151789,1.0
RASSF9,-0.017464152,-16.87435,0.9860663310151789,1.0
MOGAT1,-0.017464152,-17.30228,0.9860663310151789,1.0
CDHR4,-0.017464152,-17.55275,0.9860663310151789,1.0
GABRA4,-0.017464152,-16.821373,0.9860663310151789,1.0
AADAT,-0.017464152,-17.162039,0.9860663310151789,1.0
LRRC38,-0.017464152,-17.343029,0.9860663310151789,1.0
ARSF,-0.017464152,-16.735207,0.9860663310151789,1.0
LINC00837,-0.017464152,-16.654194,0.9860663310151789,1.0
FAM163A,-0.017464152,-17.122229,0.9860663310151789,1.0
SCT,-0.017464152,-16.799023,0.9860663310151789,1.0
