"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",183,0.344741620003459,1.03376969792347,0.368258859784284,0.497647107816599,0.303826655298555,3369,"tags=15%, list=17%, signal=12%","EIF4A2/LPIN1/BHLHE40/MYH9/TPM3/SYNGR2/BIN1/NOTCH1/MYOM2/FDPS/CDKN1A/PRNP/FXYD1/CLU/ACSL1/PDLIM7/CFD/GABARAPL2/SORBS3/SCD/SMTN/APP/MYO1C/FKBP1B/FHL1/SIRT2/COL6A2"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",35,0.437153726330795,1.03764489468884,0.400702987697715,0.514002126905353,0.313811824847478,5114,"tags=31%, list=26%, signal=23%","MYH9/LDB1/ADGRG1/RASA1/TLE1/PML/CDK5R1/TLE3/DPYSL2/VEGFA/ETS2"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",158,0.341942787853608,1.01101810520777,0.427692307692308,0.514002126905353,0.313811824847478,2998,"tags=28%, list=15%, signal=24%","TIMP1/SATB1/CASP1/BIRC3/CASP8/DAP3/TAP1/TSPO/SOD2/IRF1/SOD1/PRF1/BCAP31/SMAD7/GNA15/PPT1/IFNGR1/CFLAR/HMGB2/SC5D/CD38/TGFBR3/RHOT2/CDKN1A/CDC25B/CASP7/CASP6/F2R/PAK1/EBP/RETSAT/IFITM3/TOP2A/DFFA/CLU/FAS/CDKN1B/CASP4/TNFSF10/BCL2L11/FEZ1/APP/SLC20A1/TXNIP"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",171,-0.318718596860773,-1.00757529949254,0.407932011331445,0.514002126905353,0.313811824847478,2196,"tags=9%, list=11%, signal=8%","COQ8A/RSAD2/MAST3/DTNB/PDK2/IFNG/SIDT1/SLC16A7/GAMT/CDKAL1/SNN/LFNG/NR4A2/MX1/PTPRJ"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",96,0.359968279260667,1.00312707630121,0.429765886287625,0.514002126905353,0.313811824847478,2055,"tags=22%, list=11%, signal=20%","HERC3/FKBP5/CENPN/B2M/MAF/TMEM50A/ARID5B/NDRG1/NCOA4/SPCS3/SEC24D/SORD/DBI/ADRM1/IDI1/UBE2I/DHCR24/TPD52/INPP4B/ELL2/PLPP1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",103,-0.328493538041417,-0.994931526677711,0.431761786600496,0.514002126905353,0.313811824847478,1852,"tags=21%, list=9%, signal=19%","PRKAR2A/THEM4/MAPKAP1/MAPK1/NCK1/CAB39/LCK/PIKFYVE/HRAS/ACTR2/YWHAB/TNFRSF1A/ITPR2/PFN1/RPTOR/PRKCB/GRK2/RAC1/SQSTM1/GRB2/CAMK4/PTEN"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",42,-0.3811642675917,-0.980385904998537,0.483412322274882,0.557004470938897,0.34006588752059,2536,"tags=29%, list=13%, signal=25%","CUL1/WNT5B/TP53/DVL2/CCND2/RBPJ/CTNNB1/PPARD/NCOR2/NUMB/LEF1/TCF7"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",105,0.346676025321049,0.975400919776001,0.49016393442623,0.557004470938897,0.34006588752059,4324,"tags=27%, list=22%, signal=21%","ACSL5/SOD1/IDH1/GSTK1/ABCA2/SLC35B2/SCP2/IDI1/DHCR24/ABCA1/RETSAT/AQP9/FADS2/ACSL1/SLC27A2/GNPAT/IDH2/FADS1/NR3C2/ABCD3/CROT/SLC29A1/LIPE/SULT1B1/ABCA5/FDXR/PFKM/ABCD1"
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",30,0.413857167726675,0.955398606680846,0.54136690647482,0.601518784972022,0.367243047667129,2502,"tags=17%, list=13%, signal=15%","DPP4/VDR/SPCS1/SRP9/SRPRB"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",197,0.314530056010443,0.94990904071804,0.576036866359447,0.626127028651573,0.382267028018855,3780,"tags=38%, list=19%, signal=31%","RAPGEF6/CDC42/ACTN4/NUSAP1/ALMS1/KLC1/ARHGDIA/TUBGCP5/MYH9/KIF4A/BIN1/PXN/ARHGEF7/NOTCH2/KATNB1/CENPE/CDK1/APC/NEK2/FLNA/KNTC1/PLK1/CYTH2/CENPF/CKAP5/CLIP1/AURKA/KIF2C/ATG4B/RHOT2/KIF11/SOS1/BUB1/PRC1/CNTROB/KIF15/MID1IP1/ANLN/TPX2/ARHGAP4/TTK/TOP2A/CCNB2/KIF23/FBXO5/TBCD/PLEKHG2/TAOK2/PIF1/KIF22/DLGAP5/PKD2/RHOF/BCL2L11/ARHGEF11/NDC80/LMNB1/VCL/RASA1/ARHGAP27/TUBA4A/BIRC5/MAPRE1/CCDC88A/ARFIP2/KIF3B/ARHGAP10/SMC3/ESPL1/FGD6/GEMIN4/SUN2/ARHGAP5/DST/ARL8A"
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",32,0.392519117650816,0.91433688520908,0.63016157989228,0.670384659459872,0.409287476301817,1077,"tags=12%, list=6%, signal=12%","SKP1/APH1A/NOTCH1/NOTCH2"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",188,0.307898669358355,0.926705605379482,0.645061728395062,0.671939300411523,0.410236625514403,1684,"tags=11%, list=9%, signal=10%","CXCR4/SATB1/ID2/BIRC3/PRDM1/RBM4/ADAM8/PPBP/LY96/MAP4K1/ITGB2/IL7R/LAPTM5/PRELID3B/LAT2/TNFRSF1B/HKDC1/MMD/EVI5/IL2RG/RGS16"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",53,0.32842540309723,0.843019953510946,0.756302521008403,0.771737266335105,0.471165909973012,1513,"tags=19%, list=8%, signal=17%","ID2/FURIN/RHOA/IFNGR2/SMAD7/SKIL/APC/SMURF1/JUNB/TGFBR1"
"HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE",43,-0.292328681565926,-0.757907988999584,0.926713947990544,0.926713947990544,0.565783252457385,4344,"tags=30%, list=22%, signal=24%","MAL/SULF2/ADIPOR2/MDGA1/NCOA6/AFAP1L2/HSPB1/ATP6V0A4/ATP8B1/ADAM10/CROCC/GATA3/B4GALT1"
