"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",194,0.428659111803835,0.838777327765652,0.953046953046953,1,0.859291084854995,7123,"tags=42%, list=36%, signal=27%","FUT8/PAM/ZNF292/KIF2A/ERO1A/NASP/ARPP19/GALK2/EXT1/HS2ST1/COPB2/GFPT1/SAP30/UGP2/MXI1/SLC25A13/PMM2/CENPA/PPP2CB/PDK3/ISG20/GCLC/PAXIP1/GNE/ME2/CHST12/SLC35A3/B3GALT6/HDLBP/PGM2/CXCR4/RPE/COG2/POLR3K/AGL/AK3/NDUFV3/PGAM1/EXT2/PHKA2/P4HA1/CDK1/PSMC4/CD44/GLRX/VCAN/HMMR/ECD/PFKP/DLD/B4GALT4/ENO1/AURKA/GOT1/HSPA5/ALDH9A1/TXN/BPNT1/STMN1/KIF20A/IRS2/PYGB/PGK1/CASP6/GNPDA1/GLCE/DEPDC1/EGLN3/CHST2/NSDHL/QSOX1/TPST1/GALE/ABCB6/GMPPB/SLC25A10/TALDO1/GALK1/GMPPA/HK2/CYB5A"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",105,0.427791579837097,0.823453216019547,0.932,1,0.859291084854995,6452,"tags=30%, list=33%, signal=21%","ATXN1/NPC1/LONP2/SLC23A2/HACL1/PNPLA8/ABCD2/PEX13/PEX26/ABCD3/ACSL1/PXMP2/GCLM/PEX6/HSD17B4/SLC27A2/PEX1/PEX7/MLYCD/OPTN/IDI1/ABCA5/ALDH9A1/CROT/ISOC1/ACSL5/PECR/GNPAT/FDXR/NR3C2/SCP2/DHCR24"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",96,0.427073253317959,0.819809374505602,0.932,1,0.859291084854995,4585,"tags=46%, list=23%, signal=35%","IRF9/ELF1/EIF2AK2/PARP14/EPSTI1/NCOA7/SAMD9/IFI30/PARP9/SP110/CASP8/SAMD9L/PSMA3/TRIM26/PNPT1/SLC25A28/BST2/OGFR/TRIM14/IFITM2/TRIM25/ISG20/NMI/IL7/LAP3/TMEM140/IRF2/ADAR/GBP2/TRIM5/MX1/RNF31/STAT2/IRF1/PLSCR1/IFIH1/PSMB9/OAS1/CD47/CMTR1/DDX60/HERC6/PARP12/C1S"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",155,0.3924234080743,0.76263957881222,0.981018981018981,1,0.859291084854995,5723,"tags=32%, list=29%, signal=23%","GLS/RASGRP1/AGO2/PLCL1/CDC34/IL6ST/RAB27A/MARK2/TFRC/CLTB/SOD2/GCH1/CASP3/CDC5L/PRKACA/BTG1/CCNE1/BTG3/STIP1/DNAJA1/HNRNPU/DGAT1/POLR2H/CCND3/BCL2L11/FURIN/PRPF3/RFC4/TGFBRAP1/POLG2/IRF1/BID/PPAT/ATP6V1C1/GRPEL1/FEN1/NUP58/GGH/LYN/CYB5B/CEBPG/NAT1/WIZ/ATP6V1F/HMOX1/PRKCD/AMD1/CHKA/HSPA13"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",199,0.387503427779047,0.758551478660112,0.993006993006993,1,0.859291084854995,3289,"tags=15%, list=17%, signal=12%","NFKB1/RASGRP1/PIK3R5/SEMA4D/ATP2C1/PSEN1/EIF2AK2/CD55/ABI1/ATP2A2/ATP2B1/NAMPT/RAF1/SLC7A1/CD69/IL18R1/GNAI3/GCH1/CD48/PDE4B/BST2/GPR183/TNFSF10/NMI/GPR132/KIF1B/SLC11A2/PTPRE/ACVR2A"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",194,0.367814926657095,0.719720665671844,0.998001998001998,1,0.859291084854995,5952,"tags=34%, list=30%, signal=24%","CD81/FBXW7/MXD4/PITPNC1/CTSD/WWP1/PVT1/RB1/HRAS/MKNK2/SLC35D1/POM121/IFI30/CCND2/CCNK/KIF13B/MDM2/IRAK1/EI24/NOL8/BTG1/TP53/BAX/IP6K2/TM7SF3/APAF1/RCHY1/IER5/PPM1D/RAP2B/CCND3/RNF19B/TSC22D1/PTPRE/FOXO3/XPC/LDHB/ABAT/MXD1/PCNA/POLH/DDB2/HDAC3/TOB1/SP1/ELP1/SESN1/RAD51C/PRMT2/ERCC5/GADD45A/CYFIP2/CASP1/RALGDS/SOCS1/RAD9A/HMOX1/TAX1BP3/RAB40C/APP/ABCC5/TXNIP/RRP8/BTG2/NOTCH1/TPRKB"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",192,0.361332990396591,0.706862714719596,0.999000999000999,1,0.859291084854995,3324,"tags=21%, list=17%, signal=18%","IL2RG/PRKCB/PTPRC/ETS1/EIF4G3/CD247/ITK/CD28/TAP2/IFNAR2/CD96/GALNT1/NME1/STAT4/JAK2/AKT1/ABI1/ST8SIA4/NCK1/GLMN/EIF3A/CCND2/STAT1/ABCE1/BCL3/EIF3J/UBE2N/CTSS/MAP3K7/IKBKB/LY75/HLA-DRA/SRGN/ITGAL/TRAT1/CCND3/IRF4/IL7/TPD52/ACVR2A/GBP2"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",200,0.34164174490702,0.668826392096846,1,1,0.859291084854995,5157,"tags=42%, list=26%, signal=31%","NDUFB8/ATP5PO/NDUFC2/NDUFA7/ECI1/NDUFA9/OPA1/ECH1/SUCLA2/OGDH/FXN/GLUD1/COX10/NNT/LRPPRC/SLC25A12/ABCB7/SDHD/NDUFS4/NDUFS1/ATP6V1D/ETFB/ACAA2/ETFDH/SDHA/ATP6V1H/IMMT/BAX/HSPA9/ACAT1/HADHB/IDH3A/RHOT1/DECR1/ACO2/ATP6V1E1/CPT1A/COX15/CYCS/AIFM1/ATP6V0E1/NDUFB5/UQCRC2/ISCA1/FDX1/PDHX/ATP5MC3/TOMM70/COX17/NDUFAB1/MRPL35/LDHB/ETFA/PRDX3/TIMM17A/MRPS22/ACADM/VDAC3/MTX2/NDUFA8/UQCRH/SDHB/ATP6V1C1/SURF1/GRPEL1/CASP7/MRPL11/PDHA1/NDUFS6/DLST/ATP5MC1/MRPL15/NDUFS2/BDH2/HCCS/DLD/ATP5F1C/MPC1/MTRR/SUCLG1/VDAC1/NDUFV2/SLC25A20/SUPV3L1"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",193,0.340962609289446,0.667157186274206,1,1,0.859291084854995,3707,"tags=12%, list=19%, signal=10%","GNAI2/PTEN/EXOC4/DLG1/PTPRC/MAPK14/RASA1/AKT3/YWHAH/ARHGEF6/HRAS/PIK3CB/MSN/NF2/WASL/NF1/CDK8/VCL/PECAM1/SYMPK/TRAF1/PBX2/LIMA1/CAP1"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",129,0.261345573586108,0.505389962534322,1,1,0.859291084854995,6981,"tags=19%, list=36%, signal=12%","FYN/RAC1/PREP/LAMP2/PECAM1/FURIN/ARF4/KLF7/MSRB2/C1S/ADAM9/USP11/RABIF/LGMN/CPQ/CASP9/PLEK/A2M/S100A13/CTSO/DUSP6/ITGA2/CTSK/DUSP14"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",191,0.243622604597992,0.476509359761494,1,1,0.859291084854995,7015,"tags=16%, list=36%, signal=10%","COPA/CD59/WIPF1/TGFBR3/VIM/CALU/SNTB1/ITGAV/CD44/VCAN/ACTA2/TPM4/ITGB1/GADD45A/GPX7/ECM2/COLGALT1/MCM7/NOTCH2/TNFAIP3/SGCB/ADAM12/P3H1/FAS/QSOX1/IL15/ID2/ITGA2/SERPINE2/CADM1"
