names,scores,logfoldchanges,pvals,pvals_adj,rank_score
NHEJ1,5.111386,1.2426804,3.1980431566259346e-07,2.0978648504477467e-06,5.111386
CENPB,5.1105485,1.0967623,3.212248039405889e-07,2.1064768644468645e-06,5.1105485
GOLGA1,5.1078086,1.2791928,3.259163905815708e-07,2.1358110954119816e-06,5.1078086
TRIM66,5.107428,1.2352176,3.265732088774545e-07,2.139398912391707e-06,5.107428
BLOC1S5,5.105449,1.3016703,3.3000931609127276e-07,2.1597398987538546e-06,5.105449
ERMP1,5.102101,1.3036524,3.35903926957209e-07,2.1968476078538324e-06,5.102101
TMEM250,5.0974584,1.1553874,3.442443847825041e-07,2.2483892261094926e-06,5.0974584
CEP44,5.081552,1.1462828,3.7436358349607416e-07,2.436164483488919e-06,5.081552
ZNF124,5.0719624,1.3605896,3.937338988886831e-07,2.5528777115486252e-06,5.0719624
FOXM1,5.070212,1.2067621,3.9737261570021935e-07,2.574764021199302e-06,5.070212
AOAH,5.069375,1.9127814,3.9912432123252674e-07,2.5844026200787833e-06,5.069375
CENPA,5.0624495,1.5536921,4.1390429614551654e-07,2.6765628773877952e-06,5.0624495
TOP3A,5.059557,1.0803603,4.2023122531922787e-07,2.7147852812963524e-06,5.059557
TIMM10B,5.056665,1.514909,4.2665141366317874e-07,2.7544423828970905e-06,5.056665
SPC25,5.055219,1.3515214,4.298968918774879e-07,2.7735649127130508e-06,5.055219
SKAP1-AS1,5.054306,1.8855271,4.319589253931385e-07,2.785949984209932e-06,5.054306
ZNF529,5.0425096,1.6625764,4.594663096938772e-07,2.9536257385314682e-06,5.0425096
ZNF251,5.024472,1.6382877,5.048191393102547e-07,3.2366647831006107e-06,5.024472
QSER1,5.016557,2.0424845,5.260566244280327e-07,3.3618145090815622e-06,5.016557
KCTD2,5.0148826,2.1743355,5.306582948773119e-07,3.3867976236657665e-06,5.0148826
KIF18B,5.0118384,2.3196812,5.391245957654473e-07,3.437468259999437e-06,5.0118384
BMPR2,5.0071197,1.3911012,5.525052924004267e-07,3.5159101013631054e-06,5.0071197
FASTKD1,5.002021,1.0908026,5.673249403711112e-07,3.599680425804768e-06,5.002021
