ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030509	BMP signaling pathway	12/511	176/18614	0.00347671769394994	0.0912927524581689	0.0779542286564479	GREM2/BMPR1A/FZD1/BMP6/BMPER/CHRDL2/BMPR2/HTRA3/GDF7/SKOR1/HTRA1/PPARG	12
GO:0048660	regulation of smooth muscle cell proliferation	12/511	176/18614	0.00347671769394994	0.0912927524581689	0.0779542286564479	PDGFD/AIF1/BMPR1A/FGF2/NDRG4/TRIB1/APOD/BMPR2/ID2/MMP9/PPARG/ERN1	12
GO:0030857	negative regulation of epithelial cell differentiation	6/511	54/18614	0.00351676448439083	0.0912927524581689	0.0779542286564479	DLL1/SPRED2/VEGFA/SPRED1/SPRY2/MMP9	6
GO:2000179	positive regulation of neural precursor cell proliferation	6/511	54/18614	0.00351676448439083	0.0912927524581689	0.0779542286564479	SMARCD3/FGF2/VEGFA/TOX/ASPM/MDK	6
GO:0045742	positive regulation of epidermal growth factor receptor signaling pathway	5/511	38/18614	0.00363283379573535	0.0937607103928226	0.0800616002929931	FASLG/TGFA/PLAUR/BCAR3/MMP9	5
GO:1905954	positive regulation of lipid localization	9/511	112/18614	0.00372545815794946	0.0940237441443276	0.0802862029329297	FASLG/BMP6/LRP1/IL1B/ACSL1/RXRA/NTSR1/LPL/PPARG	9
GO:0016554	cytidine to uridine editing	3/511	12/18614	0.0037608103767887	0.0940237441443276	0.0802862029329297	APOBEC3B/RBM47/APOBEC3H	3
GO:0032635	interleukin-6 production	12/511	178/18614	0.00380845860950823	0.0940237441443276	0.0802862029329297	AIF1/GAS6/TYROBP/ADORA2B/TRPV4/IL1B/NOD2/HYAL2/LPL/ORM1/NLRP12/LILRA5	12
GO:0032675	regulation of interleukin-6 production	12/511	178/18614	0.00380845860950823	0.0940237441443276	0.0802862029329297	AIF1/GAS6/TYROBP/ADORA2B/TRPV4/IL1B/NOD2/HYAL2/LPL/ORM1/NLRP12/LILRA5	12
GO:0007411	axon guidance	14/511	225/18614	0.00383594496548223	0.0940237441443276	0.0802862029329297	SEMA6B/GAP43/VEGFA/SEMA3G/CSF1R/CYFIP1/EFNB2/UNC5A/BMPR2/NEO1/GDF7/PLXND1/PLXNB2/DCC	14
GO:0097485	neuron projection guidance	14/511	225/18614	0.00383594496548223	0.0940237441443276	0.0802862029329297	SEMA6B/GAP43/VEGFA/SEMA3G/CSF1R/CYFIP1/EFNB2/UNC5A/BMPR2/NEO1/GDF7/PLXND1/PLXNB2/DCC	14
GO:0010640	regulation of platelet-derived growth factor receptor signaling pathway	4/511	24/18614	0.00385477985274172	0.0940237441443276	0.0802862029329297	LRP1/NDRG4/PTPN12/APOD	4
GO:0048143	astrocyte activation	4/511	24/18614	0.00385477985274172	0.0940237441443276	0.0802862029329297	LRP1/C1QA/IL1B/C5AR1	4
GO:0060307	regulation of ventricular cardiac muscle cell membrane repolarization	4/511	24/18614	0.00385477985274172	0.0940237441443276	0.0802862029329297	KCNE1/KCNE3/KCNE5/KCNH2	4
GO:1902410	mitotic cytokinetic process	4/511	24/18614	0.00385477985274172	0.0940237441443276	0.0802862029329297	CHMP4A/KIF20A/CEP55/KLHDC8B	4
GO:0071560	cellular response to transforming growth factor beta stimulus	16/511	274/18614	0.00387466269262179	0.0940237441443276	0.0802862029329297	PDGFD/COL4A2/BMPR1A/HSPA1A/SPRED2/SPRED1/SPRY2/LATS2/PRDM16/FMOD/ACTA2/LRRC32/HTRA3/HTRA1/HYAL2/PPARG	16
GO:0030217	T cell differentiation	17/511	300/18614	0.00401065648080408	0.0957272815471366	0.0817408413423065	SMARCD3/TNFSF9/VNN1/IL18R1/BCL2/HLA-G/NLRP3/PRDM1/TBX21/FCER1G/TOX/FZD8/IL1B/BCL3/RABL3/MYB/MDK	17
GO:0033674	positive regulation of kinase activity	22/511	430/18614	0.0040258380594155	0.0957272815471366	0.0817408413423065	PDGFD/GAS6/DAB1/FGF2/VEGFA/FLT3/TGFA/CSF1R/CAMKK1/HTR2B/SLC11A1/ROR2/FZD8/TPX2/IL1B/ROR1/ACSL1/LRP8/NOD2/CDC6/ERN1/LILRA5	22
GO:0060390	regulation of SMAD protein signal transduction	5/511	39/18614	0.00407473895434603	0.0957272815471366	0.0817408413423065	BMPR1A/BMP6/LRP1/BMPR2/PPARG	5
GO:0070232	regulation of T cell apoptotic process	5/511	39/18614	0.00407473895434603	0.0957272815471366	0.0817408413423065	CD274/BCL2/PDCD1/BCL3/PIP	5
