Condition,n,rho,CI_lower,CI_upper,Pvalue,FDR
MKPP,23,0.4862627367354067,0.006859849141974851,0.8006327592278794,0.029708657460126877,0.059417314920253754
SKPP,23,0.3773492053960867,-0.086204349,0.7307804974411738,0.0758853627444266,0.0758853627444266
