"group","gene","scores","logfoldchanges","pvals","pvals_adj"
"MKPP","BTBD7",40.866543,1.5239365,0,0
"MKPP","CCZ1B",40.135815,1.6960001,0,0
"MKPP","MXD4",40.034397,1.7080702,0,0
"MKPP","TTC9",40.02169,1.8545518,0,0
"MKPP","RASGRP1",39.808315,1.5004529,0,0
"MKPP","PDE3B",39.707966,1.6795444,0,0
"MKPP","PPP1R35",39.645798,1.5461161,0,0
"MKPP","CRIPT",39.121925,1.6015875,0,0
"MKPP","SEC22A",38.75211,1.6773055,0,0
"MKPP","PHF10",38.725082,1.5161979,0,0
"MKPP","OPN3",38.231766,1.668292,0,0
"MKPP","ABHD17B",37.96586,1.5919214,0,0
"MKPP","SLC15A4",37.291626,1.5689316,2.24324793308255e-304,5.09824338612768e-303
"MKPP","CLPTM1L",37.185375,1.5669986,1.17607202302702e-302,2.64825976370457e-301
"MKPP","NBEA",36.957367,1.5216898,5.54649668858962e-299,1.23193924179707e-297
"MKPP","MPP7",36.061485,1.6781993,9.1121583800959e-285,1.85736161647622e-283
"MKPP","MAPK9",36.054447,1.7133192,1.17474141208677e-284,2.39202288779541e-283
"MKPP","PMEPA1",35.963295,1.5488256,3.13670348243716e-283,6.31471334818213e-282
"MKPP","CCNQ",35.827957,1.7824049,4.05468430483098e-281,7.99819178194886e-280
"MKPP","F8A1",35.018536,1.9152186,1.17517991573047e-268,2.16127073223814e-267
"MKPP","SLC33A1",34.522522,1.7350414,3.68461144493244e-261,6.44905874368854e-260
"MKPP","FBRSL1",34.409157,1.5115623,1.83956071603932e-259,3.1968493864527e-258
"MKPP","GMEB2",34.035515,1.5633788,6.64899896029167e-254,1.12065126317819e-252
"MKPP","MEF2C-AS2",33.94807,1.8130298,1.30238944134028e-252,2.17450141537086e-251
"MKPP","DBP",33.653942,1.9080602,2.73018443116571e-248,4.44091844963015e-247
"MKPP","CRK",33.553482,1.5233829,8.00898831794701e-247,1.28669855012797e-245
"MKPP","MYO1D",33.35889,1.5501359,5.41394173507414e-244,8.52292935413763e-243
"MKPP","WRNIP1",33.330475,1.6193253,1.39750423544802e-243,2.19121497429862e-242
"MKPP","TENT4A",32.427734,1.5561637,1.11616265318796e-230,1.60478110195312e-229
"MKPP","SMARCD2",32.26434,1.6607252,2.21423347767857e-228,3.15113605027012e-227
"MKPP","PHACTR2",31.597696,1.5202124,3.97125324164816e-219,5.36667703263613e-218
"MKPP","AKT1",31.37666,1.5545864,4.21272658106297e-216,5.58878872801628e-215
"MKPP","ZHX3",31.18355,1.5375526,1.78071776076554e-213,2.32766099817369e-212
"MKPP","KDM4A",30.529179,1.6164523,1.06867789872225e-204,1.32186404059399e-203
"MKPP","TNFSF8",30.158188,1.8076671,8.37730116618434e-200,1.00692278390599e-198
"MKPP","EPM2A",30.140387,1.605125,1.43368239338159e-199,1.72006726386824e-198
"MKPP","JAM3",29.975044,1.6621335,2.07587460969879e-197,2.45888101468437e-196
"MKPP","C8orf82",29.480349,1.7673403,5.14285344083973e-191,5.82717754084261e-190
"MKPP","RAP2C-AS1",29.47727,1.5033932,5.63212124891725e-191,6.37416706760051e-190
"MKPP","LINC02324",29.415195,2.2599647,3.51081946145487e-190,3.9596377649423e-189
"MKPP","TTTY14",28.785555,1.9931072,3.25277380438318e-182,3.44987955578157e-181
"MKPP","ANKRD33B",28.635353,1.6760359,2.43985582329968e-180,2.5682140263759e-179
"MKPP","HDGFL2",28.634382,1.6676403,2.50872328521933e-180,2.63928479812752e-179
"MKPP","SLAIN1",28.266861,1.8402556,8.83320820087795e-176,9.04490937073677e-175
"MKPP","SLC24A1",28.099775,1.5757971,9.85803307785015e-174,9.90256628682606e-173
"MKPP","TXK",27.877409,1.8332042,5.01392460722394e-171,4.95267424099737e-170
"MKPP","CHSY1",27.536545,1.6818359,6.41370504724426e-167,6.14911221775971e-166
"MKPP","SBNO2",27.392923,1.5219134,3.33018300162775e-165,3.15569108841898e-164
"MKPP","GLYATL1",26.863853,1.633723,5.81099795475449e-159,5.27654793404342e-158
"MKPP","BOD1",26.757998,1.567875,9.9665004602379e-158,8.9707672955812e-157
"MKPP","CNNM4",26.226173,1.5757368,1.3367846323293e-151,1.14628403529446e-150
"MKPP","ITFG2-AS1",26.208143,1.6721641,2.14614452337466e-151,1.83788866666938e-150
"MKPP","RGPD8",26.135288,1.6449159,1.4485760493966e-150,1.23457038913732e-149
"MKPP","RGS7",25.808067,1.7070086,7.19835572045746e-147,5.96095745822732e-146
"MKPP","POC1B-AS1",25.807098,1.7593136,7.38110845648336e-147,6.1097094025578e-146
"MKPP","SAMD1",25.36629,1.5606979,5.94170530185781e-142,4.71481303109301e-141
"MKPP","BCL9L",25.359892,1.5469975,6.9901662340913e-142,5.54003940334948e-141
"MKPP","PPP2CB",25.216127,1.5604813,2.66590851165375e-140,2.09084159342848e-139
"MKPP","FAM43A",25.027596,1.7967392,3.06211666221483e-138,2.3692961188699e-137
"MKPP","LINGO3",24.993528,1.5796899,7.18861979205943e-138,5.54680252724838e-137
"MKPP","GIMAP7",24.98797,1.7659465,8.26187484943789e-138,6.36740319235135e-137
"MKPP","MTHFD1L",24.818943,1.5116838,5.59907096524634e-136,4.26313699019224e-135
"MKPP","IL7R",24.81132,1.5128243,6.76723497589295e-136,5.14857130669803e-135
"MKPP","MPZL3",24.709394,1.5786852,8.47665703578692e-135,6.37475883459948e-134
"MKPP","CD3D",24.491919,1.5859901,1.80112109072481e-132,1.32597206558703e-131
"MKPP","MED12L",24.293259,1.859518,2.30979434093238e-130,1.66659497283794e-129
"MKPP","ARHGAP19",23.741968,1.5066952,1.3300879750192e-124,9.15482289664989e-124
"MKPP","CCNT2-AS1",23.555933,1.5309907,1.0913432082825e-122,7.38941311407335e-122
"MKPP","ASPHD2",23.29027,1.7835587,5.56339762081331e-120,3.6840800217961e-119
"MKPP","TUT1",23.25645,1.6485213,1.22405333665856e-119,8.07561554003195e-119
"MKPP","DPYD-AS1",22.82692,1.5391216,2.47818288443375e-115,1.58681553280758e-114
"MKPP","FAAH2",22.808538,1.6646245,3.7725235821232e-115,2.41165440885288e-114
"MKPP","IRAK3",22.290098,1.5038238,4.60973211988278e-110,2.82768771541901e-109
"MKPP","SPON1",21.9859,1.9086641,3.9291889977856e-107,2.3505463255478e-106
"MKPP","PRR5",21.984594,1.5331982,4.04394886769741e-107,2.41845939618285e-106
"MKPP","MTURN",21.803425,1.5119311,2.15291416756333e-105,1.2731406597425e-104
"MKPP","SPAG6",21.7738,1.6333444,4.11094410011589e-105,2.42517196717117e-104
"MKPP","SOX12",21.7459,1.7844884,7.55369711923303e-105,4.44543594674141e-104
"MKPP","OVCH1-AS1",21.701912,2.400943,1.96806672251486e-104,1.1540644179254e-103
"MKPP","LINC01340",21.689493,1.5989965,2.57809218513035e-104,1.51042239157577e-103
"MKPP","SHISA8",21.525003,1.7544917,9.08124671930829e-103,5.24968495726513e-102
"MKPP","STPG4",21.372725,1.8996521,2.39725404707682e-101,1.36882016904579e-100
"MKPP","PLCB1",21.33633,1.5756226,5.22369044882548e-101,2.97315807744669e-100
"MKPP","ADA",20.925117,1.7637486,3.16287617521223e-97,1.74685749355216e-96
"MKPP","FRMD4A",20.824345,1.6069732,2.60468452983646e-96,1.42609028762842e-95
"MKPP","PPP1R3F",20.26372,1.624826,2.68865955610746e-91,1.41619623671361e-90
"MKPP","MSC-AS1",19.96304,1.831016,1.15470824435352e-88,5.9336478270771e-88
"MKPP","CCT6B",19.79567,1.5449789,3.24417934668027e-87,1.64163696549882e-86
"MKPP","LINC00624",19.552586,1.6878828,3.92129350909412e-85,1.94849851157831e-84
"MKPP","PDZD2",19.302008,1.6923143,5.16630043202527e-83,2.51728503122187e-82
"MKPP","GYPE",19.135569,1.6856687,1.27676864749697e-81,6.13250095587153e-81
"MKPP","RASSF6",18.83766,1.6412967,3.71016269604713e-79,1.73851684952706e-78
"MKPP","TRAT1",18.324736,1.8672366,5.25361450745008e-75,2.36219505243068e-74
"MKPP","YES1",18.149662,1.7027974,1.29194349779704e-73,5.73519745120067e-73
"MKPP","EGLN3",18.044764,1.8421962,8.67360367344557e-73,3.82608378453523e-72
"MKPP","PTCHD1-AS",17.966799,2.2741077,3.54594569980787e-72,1.55506646019364e-71
"MKPP","MAL",17.83964,1.5376214,3.47930379941529e-71,1.51261978997908e-70
"MKPP","NAV2",17.745281,1.874374,1.87462507129308e-70,8.1030844698615e-70
"MKPP","CD28",17.671984,1.6152192,6.89309657343482e-70,2.96448601646094e-69
"MKPP","PINK1",17.587915,1.5523901,3.04884053924116e-69,1.30147713071272e-68
"MKPP","LINC01342",17.574425,1.7087646,3.86787643177115e-69,1.65002411198818e-68
"MKPP","CCL3",17.509197,1.9657463,1.21899521109487e-68,5.16864535009845e-68
"MKPP","RASGRF2",17.31598,1.5779744,3.56402204905908e-67,1.49114354192833e-66
"MKPP","S100Z",17.313921,1.7889549,3.69386704927149e-67,1.54513874348321e-66
"MKPP","COL10A1",17.120594,1.918058,1.04208017227521e-65,4.31108346957321e-65
"MKPP","NLGN4Y",16.881512,1.828365,6.15482838816507e-64,2.50026327381387e-63
"MKPP","ZNF358",16.806738,1.5977373,2.17836259243768e-63,8.79616161964929e-63
"MKPP","NME9",16.386803,1.5925417,2.37621200846503e-60,9.30140359704815e-60
"MKPP","LINC01891",16.36409,1.9735258,3.45152992946874e-60,1.3489022899909e-59
"MKPP","CHRM5",16.266994,1.5327495,1.69265857558962e-59,6.5757282126539e-59
"MKPP","ACTN1",16.26401,1.5108364,1.77718095548135e-59,6.90134489717387e-59
"MKPP","RNASEH2B-AS1",16.173018,1.5424472,7.81737693463615e-59,3.01360188843499e-58
"MKPP","JAML",16.130295,1.8645117,1.56274564470165e-58,6.00428171520163e-58
"MKPP","LENG9",16.091707,1.5017658,2.91678286150316e-58,1.11891015553605e-57
"MKPP","CD4",15.845144,1.6070142,1.51871775698635e-56,5.72716690474252e-56
"MKPP","LINC01252",15.838125,1.7626191,1.69807529706874e-56,6.39308494056386e-56
"MKPP","DCLK2",15.702144,1.6846513,1.46215845811089e-55,5.43325421730228e-55
"MKPP","DDAH1",15.5035095,1.7003976,3.28450072324172e-54,1.20493269877004e-53
