Sample,mMDSC_ENTPD1_expression,mMDSC_NT5E_expression,mMDSC_ARG1_expression,mMDSC_IDO1_expression,mMDSC_STAT3_expression,mMDSC_SIGLEC9_expression,mMDSC_CD274_expression,mMDSC_PDCD1LG2_expression,mMDSC_TGFB3_expression,mMDSC_IL10_expression,mMDSC_ENTPD1_fraction,mMDSC_NT5E_fraction,mMDSC_ARG1_fraction,mMDSC_IDO1_fraction,mMDSC_STAT3_fraction,mMDSC_SIGLEC9_fraction,mMDSC_CD274_fraction,mMDSC_PDCD1LG2_fraction,mMDSC_TGFB3_fraction,mMDSC_IL10_fraction,mMDSC_suppressive_score,Condition
M09,0.18980888,0.0,0.1745242,0.0,0.64674765,0.068573296,0.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.07692307692307693,0.0,0.4358974358974359,0.07692307692307693,0.0,0.0,0.0,0.0,0.012338733802143727,MKPP
M10,0.9875019,0.0045133578,0.9859967,0.0063513154,0.9379504,0.010742359,0.0077357176,0.0034998364,0.0,0.0,0.42292490118577075,0.003952569169960474,0.41106719367588934,0.003952569169960474,0.4505928853754941,0.007905138339920948,0.003952569169960474,0.003952569169960474,0.0,0.0,0.06606654871756087,MKPP
M11,0.43806252,0.0,0.2913484,0.02205651,0.7340817,0.02227535,0.03380993,0.0,0.0,0.007877654,0.18796992481203006,0.0,0.11278195488721804,0.007518796992481203,0.3383458646616541,0.007518796992481203,0.022556390977443608,0.0,0.0,0.007518796992481203,0.06575176340926517,MKPP
M12,0.93583614,0.0032110214,1.1354815,0.006340746,1.0583935,0.034933355,0.0020251353,0.0041539916,0.0022028885,0.0026161955,0.42957198443579764,0.0023346303501945525,0.46459143968871597,0.0031128404669260703,0.5198443579766537,0.022568093385214007,0.0023346303501945525,0.0031128404669260703,0.0023346303501945525,0.0023346303501945525,0.08814449281968971,MKPP
M13,0.4157959,0.0,0.094393626,0.027829066,1.019319,0.13249332,0.032569498,0.0,0.0,0.0,0.16,0.0,0.04,0.013333333333333334,0.4266666666666667,0.05333333333333334,0.013333333333333334,0.0,0.0,0.0,0.10881184531029642,MKPP
M14,1.0436782,0.0020824636,1.1602051,0.043618586,0.91762036,0.0038607293,0.0037608105,0.0,0.0,0.0,0.4495726495726496,0.0017094017094017094,0.4735042735042735,0.020512820512820513,0.4170940170940171,0.0017094017094017094,0.0017094017094017094,0.0,0.0,0.0,0.0850302411646521,MKPP
M15,0.6127673,0.013148829,0.39487293,0.004770884,0.5123117,0.027688773,0.0,0.0,0.004476079,0.0,0.24766355140186916,0.004672897196261682,0.16822429906542055,0.004672897196261682,0.2616822429906542,0.014018691588785047,0.0,0.0,0.004672897196261682,0.0,0.0036598449785543935,MKPP
M16,0.89492637,0.0,1.1375966,0.018535323,0.91157544,0.12389559,0.0035784943,0.0031436754,0.0,0.0,0.5370370370370371,0.0,0.5092592592592593,0.018518518518518517,0.5462962962962963,0.1574074074074074,0.009259259259259259,0.009259259259259259,0.0,0.0,0.09756749657635437,MKPP
M17,0.7743755,0.0,1.6211871,0.01691135,0.90155476,0.06614811,0.0,0.0,0.0,0.0,0.45893719806763283,0.0,0.7246376811594203,0.014492753623188406,0.5314009661835749,0.057971014492753624,0.0,0.0,0.0,0.0,0.13260727943502387,MKPP
M18,0.27822685,0.032918174,0.028957808,0.0,0.68843913,0.109905705,0.0,0.0,0.0,0.044641033,0.26666666666666666,0.03333333333333333,0.03333333333333333,0.0,0.5333333333333333,0.16666666666666666,0.0,0.0,0.0,0.03333333333333333,0.037477365226456616,MKPP
