names,scores,logfoldchanges,pvals,pvals_adj
MRPL53,3.828802,2.1936543,0.00012876852306773057,0.00036704187318126023
TLR5,3.8249161,1.9937817,0.00013081664100773806,0.0003725000045458991
MYO1B,3.8125556,23.293327,0.0001375373311628041,0.00039050065237866374
DNAH17,3.801023,2.1482365,0.00014409997269148402,0.0004078906792459076
KIF24,3.7877674,4.9416404,0.0001520070384635968,0.00042903126044362643
PLK1,3.7716424,2.6400914,0.00016217658824220637,0.00045595854579360553
FRGCA,3.7588654,23.364996,0.00017068568517731626,0.00047843825949829506
RSPO2,3.7588654,23.745577,0.0001706856852799263,0.00047843825949829506
ITGA7,3.7474654,2.897977,0.00017863052818295456,0.0004995629806322788
SLC25A10,3.740802,23.066769,0.00018343397172719675,0.0005124105579954012
KIF20A,3.7258203,2.324819,0.00019468112659799718,0.0005422804676540368
MYRFL,3.7226534,23.279352,0.00019714003000392274,0.0005486610876286105
C7orf25,3.6538644,2.3083894,0.0002583227813759719,0.000709653262103751
POC1A,3.6333518,2.7084253,0.0002797631511212041,0.0007658653247257584
SPATC1,3.6103976,2.6854055,0.00030572790741175787,0.0008332149989182838
EHHADH,3.5938096,1.8156306,0.00032587807010925964,0.0008845584791091682
CCNE1,3.5894544,1.9864993,0.0003313707379180706,0.0008985951496093134
MYOF,3.5833123,1.6057057,0.00033926458596205176,0.0009187281231809339
DMC1,3.5537813,2.4012055,0.0003797350520811298,0.0010228018581037231
FBXO43,3.5266669,2.8367455,0.0004208258741086305,0.0011292815008992982
HOMER3,3.4883983,2.0225563,0.00048592367468214737,0.0012980961728573733
CNTNAP3B,3.4758685,4.3357525,0.0005092021175437392,0.0013578723134499713
FAM201A,3.4537818,3.3553634,0.0005527844797052349,0.0014659014363561508
ID2-AS1,3.4027135,1.7136922,0.0006672019166970156,0.0017541054824569665
ITGB3,3.39147,2.5788898,0.0006951876939894683,0.0018213191586538915
ERCC6L,3.3737051,2.715305,0.0007416377270433003,0.0019318912463769037
ADM,3.3661065,1.5156322,0.0007623728543192388,0.0019832640272957813
INAVA,3.356714,3.6547315,0.0007887467901266371,0.0020483340662505686
TICAM2,3.344657,2.1004972,0.0008238439773795924,0.0021329689004186115
MYOSLID,3.3414545,1.6674328,0.0008334064390861307,0.00214806338251283
NPIPB3,3.341065,1.5618163,0.000834576932828741,0.0021507969737380225
STEAP3,3.3332753,2.4674811,0.0008582998654835908,0.00220931488658023
IGHGP,3.2988856,23.100763,0.0009706943317077237,0.0024813254974339304
FAM177B,3.2832289,1.518472,0.0010262534306268887,0.002615830028723064
MMEL1,3.2777972,4.2101903,0.0010462052857492339,0.0026628700613346786
HCAR2,3.2721224,3.3873327,0.001067433211042044,0.0027140765428366317
PARD6A,3.2680008,1.5001698,0.001083100817621735,0.002752482701197677
MICALL2,3.2645972,1.9205949,0.0010961980976920765,0.002783959036422914
CNGA4,3.2506359,1.9630105,0.0011514722211322913,0.002917898008691618
ZNF784,3.232493,2.1780095,0.0012271518033767346,0.0030984395469001217
SLC27A6,3.230421,2.034653,0.0012360803041566238,0.003120177940110528
LINC02035,3.2199628,1.5749981,0.001282071918187476,0.003230438230117503
MYO7B,3.2184868,2.8603363,0.00128868859029832,0.003246692202260529
PAQR4,3.2087922,1.6801044,0.0013329379137316229,0.0033499780498202412
LINC01685,3.1949296,22.961557,0.001398649584827305,0.003505671202241668
FAM114A1,3.1792552,3.1005175,0.0014765395701272996,0.003692386748658274
MAP3K21,3.1778302,2.7032366,0.0014838163837832586,0.0037086880824972286
IGHG2,3.1706944,1.8897451,0.0015207501687068226,0.003798575351194167
TMEM45B,3.1691523,2.0595152,0.0015288426299638895,0.003817327112815285
PPFIA4,3.1553643,2.1990569,0.0016029778651049443,0.003998351926625054
WDFY3-AS1,3.1524067,22.78449,0.0016193051622002985,0.004037019165922346
IGLC7,3.1093137,22.791365,0.0018752250365194239,0.004645449241624704
C1QTNF7,3.1093137,22.72091,0.0018752250388181491,0.004645449241624704
SFTPD,3.1093137,22.876904,0.0018752250388181491,0.004645449241624704
RGL1,3.09303,1.5469805,0.001981241592990899,0.004893831796471335
ELF3-AS1,3.0854435,3.2233913,0.0020324885334959395,0.005008403931929045
PLCH1,3.0656264,22.953852,0.0021721462149222096,0.005336416463728537
MCF2,3.0599272,1.5109347,0.002213907799209759,0.005432875321662473
RNF175,3.0548608,2.2951176,0.0022516492023916825,0.005520645482069972
SLC12A5-AS1,3.0435517,22.902843,0.002338032389549697,0.005719920330165574
PTGR1,3.0375507,1.6467007,0.0023850931631331012,0.005819389403514778
P2RY2,3.029135,2.2609863,0.0024525510141538425,0.005975039622131772
TMEM158,3.0196958,3.1695151,0.002530286907717035,0.006151404424177778
CA2,3.002323,1.8258557,0.0026792777528196923,0.006490233605740993
TMEM255B,2.98819,1.7337608,0.0028063502033215423,0.006785451721067088
RNASE4,2.9575596,2.013193,0.0031008479678249516,0.007445078899926214
SPAG4,2.9437163,1.6394131,0.003242972358248271,0.007707820127074234
AUNIP,2.9120278,3.250522,0.003590905195951613,0.008488382806762644
ADORA2A-AS1,2.9110234,2.008396,0.0036024695724800123,0.0085136623906146
ATP6V1C2,2.90765,22.499166,0.00364155667256292,0.00860084260866337
NXF3,2.90765,22.5633,0.003641556674814801,0.00860084260866337
LINC02218,2.90765,22.716297,0.003641556674814801,0.00860084260866337
SLC7A8,2.8813047,1.6589284,0.003960326319464024,0.009286478780020613
FAM20C,2.8782573,2.7933252,0.003998788807471592,0.00936656684038833
