Sample,CD8_exhausted_like_Exhaustion_scores,CD8_exhausted_like_Apoptosis_scores,CD8_exhausted_like_TCR_signaling_scores,CD8_exhausted_like_Cytotoxic_scores,CD8_exhausted_like_Activation_effector_scores,CD8_exhausted_like_IFN_response_scores
HC01,0.15399110151520543,0.14648665454102655,0.7553211079138813,0.6205650246232519,0.528430115483341,0.18380221670188743
HC02,0.1584892278745517,0.15005361459275063,0.7476110212717981,0.6254813495917995,0.5139550087770469,0.18365888179822018
HC03,0.18284185186701335,0.167227488120016,0.7258953129182897,0.5121058549306203,0.47154749245063743,0.2723426743544354
HC04,0.13799118454154932,0.10278555307448801,0.7526009080943529,0.40809369942557,0.43277993463140346,0.14375550358799027
HC05,0.11799916881044392,0.0755110638665039,0.6953140238079196,0.44417509405249744,0.38745793326281086,0.11610041111818445
HC06,0.16969253306367565,0.26763635175034384,0.5656225100585447,0.8456190379018577,0.24308815406792073,0.18752240704349998
HC07,0.17576769974377374,0.3433003479527598,0.5586865010199432,1.075436095504224,0.31014068644470116,0.14556102840603902
HC08,0.18180608422433,0.28081454476622003,0.5370390214410888,0.9426892341378658,0.23493622063217537,0.19560656285484265
HC09,0.17773272918841412,0.23422403360640087,0.5461417655709526,0.7302750510533713,0.20679803846152742,0.18472737220188581
HC10,0.18548169520645524,0.3164973293525217,0.5966361576592675,0.9801608571965217,0.3275880071048662,0.14651361100598284
HC11,0.17614827580121453,0.28769533397656233,0.5466138275658597,0.8461969582657229,0.23592773988872287,0.24078516798391597
HC12,0.14669963449585788,0.31170155091414936,0.52266540035223,1.023601438532186,0.2826058533771811,0.2269854615199106
HC13,0.136789238791606,0.22414526046351949,0.617611418225588,0.8645793191901326,0.38093488866150865,0.10278087567799721
HC14,0.15530823952728923,0.2961649996062119,0.6135531058212838,0.8869793175384351,0.3317921413598786,0.22274331876234352
HC15,0.1651941910787122,0.2580114725898333,0.5986980804389311,0.8434804486746666,0.26963385102211745,0.12181956331649531
HC16,0.14701401446604279,0.22515162365142302,0.6867882052646281,0.830284380461918,0.4730409041372986,0.17770595700430622
HC17,0.15308189808450998,0.24081780938642858,0.6656105410077527,0.9179929456726489,0.433019457016347,0.21052547308878944
HC18,0.14853547269837541,0.2549761322546572,0.6726010340319677,0.8976579874683378,0.4284789573835431,0.17539800119074447
HC19,0.1613232123099306,0.21138172385237683,0.7758353051780111,0.7898984450555097,0.5283316562579521,0.17646164894984157
HC20,0.1558299075921699,0.21397637910672648,0.7450108048339854,0.770685165916744,0.5118473206497863,0.1836147196243598
HC21,0.144308842298524,0.2348446914917163,0.5818552417307714,0.870128109454365,0.4138492816777037,0.1492833392481087
HC22,0.14014492222911148,0.22652027291434018,0.5982157551986205,0.8944026121615606,0.3490948732158202,0.17430773063324678
HC23,0.13548421777643757,0.23858972870298284,0.6014269541046623,0.9370133458458572,0.38494068624904404,0.20963243960816302
HC24,0.14107929023201576,0.2034234575255193,0.5701299731523374,0.8762262458403108,0.3760176241890978,0.13222461223770265
HC25,0.14327649733273726,0.29802231397621287,0.636143179702957,1.1771388824923232,0.4797700289641427,0.17371063731746908
HC26,0.1479156481494587,0.12054981897725649,0.6100413993353835,0.7076534282911372,0.3673078267162167,0.14063273846794966
HC27,0.12870894483145942,0.27381010335723505,0.5834240924025335,1.0202632745115727,0.41464024024120877,0.1674571222067306
HC28,0.11679860841606585,0.24009693644081861,0.5263215834093307,0.8870211600835531,0.3142722722460794,0.1475574759968858
HC29,0.2078265618988196,0.1741247619816138,0.6161243124955545,0.6254581473398458,0.3187232043560323,0.20008198363531127
HC30,0.18043485461087744,0.18973447486034248,0.5929642718450672,0.6691495027026488,0.3449266885326776,0.1860711866285169
HC31,0.29740557989908034,0.3856048881583206,0.6619528173825022,0.8830660324200446,0.4255711534717694,0.29759640494842265
