group,names,scores,logfoldchanges,pvals,pvals_adj
SKPP,KCNA5,0.0,0.0,1.0,1.0
SKPP,ATOH7,0.0,0.0,1.0,1.0
SKPP,SCGB1D4,0.0,0.0,1.0,1.0
SKPP,C11orf87,0.0,0.0,1.0,1.0
SKPP,PCDHB4,0.0,0.0,1.0,1.0
SKPP,ZNF729,0.0,0.0,1.0,1.0
SKPP,SEMA3B-AS1,0.0,0.0,1.0,1.0
SKPP,TRDJ4,0.0,0.0,1.0,1.0
SKPP,TRAJ47,0.0,0.0,1.0,1.0
SKPP,BPIFB2,0.0,0.0,1.0,1.0
SKPP,BPIFA2,0.0,0.0,1.0,1.0
SKPP,CYP4Z1,0.0,0.0,1.0,1.0
SKPP,LINC01785,0.0,0.0,1.0,1.0
SKPP,IGHV1-12,0.0,0.0,1.0,1.0
SKPP,IGHV3-19,0.0,0.0,1.0,1.0
SKPP,TRAJ11,0.0,0.0,1.0,1.0
SKPP,SPINK7,0.0,0.0,1.0,1.0
SKPP,IGKV1OR2-6,0.0,0.0,1.0,1.0
SKPP,TRGVB,0.0,0.0,1.0,1.0
SKPP,PCDH18,0.0,0.0,1.0,1.0
SKPP,IGHV3-22,0.0,0.0,1.0,1.0
SKPP,TRAJ35,0.0,0.0,1.0,1.0
SKPP,TRAJ46,0.0,0.0,1.0,1.0
SKPP,TRAJ39,0.0,0.0,1.0,1.0
SKPP,IGHV7-34-1,0.0,0.0,1.0,1.0
SKPP,TRAJ60,0.0,0.0,1.0,1.0
SKPP,FOXR1,0.0,0.0,1.0,1.0
SKPP,IGLV3-13,0.0,0.0,1.0,1.0
SKPP,PEX5L-AS1,0.0,0.0,1.0,1.0
SKPP,RAD51AP2,0.0,0.0,1.0,1.0
SKPP,BARX1,0.0,0.0,1.0,1.0
SKPP,TBXT,0.0,0.0,1.0,1.0
SKPP,C2CD4C,0.0,0.0,1.0,1.0
SKPP,HOXB1,0.0,0.0,1.0,1.0
SKPP,IGLJ6,0.0,0.0,1.0,1.0
SKPP,ITLN2,0.0,0.0,1.0,1.0
SKPP,TRAV9-1,0.0,0.0,1.0,1.0
SKPP,TRAJ10,0.0,0.0,1.0,1.0
SKPP,FOXD4L4,0.0,0.0,1.0,1.0
SKPP,LHX6,0.0,0.0,1.0,1.0
SKPP,IL17A,0.0,0.0,1.0,1.0
SKPP,LINC01780,0.0,0.0,1.0,1.0
SKPP,PKP1,0.0,0.0,1.0,1.0
SKPP,CMA1,0.0,0.0,1.0,1.0
SKPP,LINC01914,0.0,0.0,1.0,1.0
SKPP,HOXC9,0.0,0.0,1.0,1.0
SKPP,HOXC8,0.0,0.0,1.0,1.0
SKPP,NRSN1,0.0,0.0,1.0,1.0
