names,scores,logfoldchanges,pvals,pvals_adj
GRB14,2.928261,22.11473,0.003408636661043958,0.008008188520027394
KCNK15-AS1,2.928261,21.46364,0.003408636661043958,0.008008188520027394
LINC02373,2.928261,22.220087,0.003408636661043958,0.008008188520027394
LINC01266,2.928261,21.910236,0.003408636661043958,0.008008188520027394
PRTG,2.928261,21.277094,0.003408636661043958,0.008008188520027394
TAS2R20,2.928261,22.092236,0.003408636661043958,0.008008188520027394
OR2T8,2.928261,21.087696,0.003408636661043958,0.008008188520027394
PRR15,2.9115136,3.5213766,0.0035968228547838877,0.008423004981140632
PCLO,2.9098241,2.513713,0.0036163231465868133,0.008465631215744798
NCOA7-AS1,2.9096832,2.1912522,0.0036179525032319494,0.008468432366416602
NPTX2,2.9077017,2.2495084,0.003640953311490312,0.00851819397408446
LINC01229,2.8999763,2.1500268,0.0037319092494951323,0.008720563672572337
SNRK-AS1,2.863371,2.7542803,0.004191597344056736,0.009726215679888796
LOXL1,2.8622098,2.467019,0.0042069828298790385,0.009758444762336773
MEIS2,2.858985,1.513493,0.004249989447529757,0.00985075743585914
COL14A1,2.8538816,21.362278,0.0043188637852841555,0.009978926266435277
